Civilité du membre;Profession du membre;Secteur du 2RM;Statut de la qualification;Sociétaire;Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre d enfants à charge;Département d habitation en France;Age du membre;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence d utilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
1;conseiller culturel;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;3;2;79;57;50-59 ans;2016;MAAF;1000;Quelques fois par mois;20000;HONDA;Routière / GT;Parking privé clos;Pour les loisirs;?;conseiller culturel;Cadre;False
1;Ingénieur de Recherche;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;56;29;Moins de 30 ans;2002;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;6000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Ingénieur de Recherche;Employé;False
1;enseignant;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;69;67;60-69 ans;2018;AXA;1310;Quelques fois par mois;15000;Ktm;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;enseignant;Retraité;False
1;Responsable de pôle Développem;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;95;53;50-59 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;BMW;Roadster;Parking privé clos;Pour les trajets domicile travail;500;Responsable de pôle Développement;Cadre;False
1;EMPLOYE DE BANQUE;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;46;65;60-69 ans;2019;GENERALI;300;Quelques fois par semaine;10000;KYMCO;Scooter;Autre;Pour les loisirs;600;EMPLOYE DE BANQUE;Retraité;False
1;Ingénieur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;44;56;50-59 ans;2011;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;5000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Ingénieur;Cadre;False
1;enseignant;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;1;0;59;43;40-49 ans;2006;GENERALI;900;Quelques fois par semaine;7000;YAMAHA;Roadster;Garage collectif;Pour les loisirs;?;enseignant;Profession intermédiaire;False
1;Cadre Marketing;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;2;3;92;47;40-49 ans;2013;MAAF;1050;Tous les jours;10000;TRIUMPH;Routière / GT;Voie publique;Pour les trajets domicile travail;1000;Cadre Marketing;Cadre;False
1;AGENT COURRIER;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;59;50;50-59 ans;2012;MAAF;650;Quelques fois par semaine;7000;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;AGENT COURRIER;Employé;False
1;PROFESSEUR;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;78;61;60-69 ans;1989;MUTUELLE DES MOTARDS;650;Quelques fois par mois;1500;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;720;PROFESSEUR;Cadre;False
1;concepteur de systèmes mécaniq;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;2;1;44;57;50-59 ans;1980;MUTUELLE DES MOTARDS;850;Quelques fois par semaine;20000;MOTO GUZZI;Routière / GT;Parking privé clos;Pour les trajets domicile travail;500;concepteur de systèmes mécaniq;En recherche d emploi;False
2;Ingénieur telecom;Non;Mise à jour;Non;En couple avec enfant(s);Femme;4;1;2;77;48;40-49 ans;2015;MAIF;800;Tous les jours;22000;Honda;Sportive;Garage collectif;Pour les trajets domicile travail;500;Ingénieur telecom;Cadre;False
1;magasinier;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;88;56;50-59 ans;2012;MUTUELLE DES MOTARDS;796;Quelques fois par semaine;6000;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;magasinier;Employé;False
1;Acheteur technique;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;1;0;28;61;60-69 ans;2006;MUTUELLE DES MOTARDS;1150;Quelques fois par mois;10000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;950;Retraité;Retraité;False
1;Directeur de Postproduction;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;1;0;?;28;Moins de 30 ans;2019;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;5000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Directeur de Postproduction;Profession libérale et artistique;False
1;Responsable fabrication;Non;Qualification initiale;Non;Seul(e) sans enfant;Homme;1;1;0;75;61;60-69 ans;2015;MAAF;400;Quelques fois par semaine;3000;Yamaha;?;Parking privé clos;Pour les loisirs;300;Responsable fabrication;Cadre;True
3;Comptable;Non;Qualification initiale;Non;Autre;Femme;4;1;0;92;34;30-39 ans;2012;AUTRE;600;Quelques fois par semaine;10000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;2300;Comptable;Employé;False
2;Technicienne informatique;Non;Mise à jour;Non;Autre;Femme;2;1;0;91;55;50-59 ans;2015;CLUB 14;1700;Tous les jours;6000;TRIUMPH;Custom;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Technicienne informatique;Employé;False
1;ingénieur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;4;0;92;61;60-69 ans;2013;MUTUELLE DES MOTARDS;990;Tous les jours;20000;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;600;ingénieur;Cadre;False
1;OFFICIER DE GENDARMERIE;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;1;0;92;50;50-59 ans;2005;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;3000;YAMAHA;Routière / GT;Garage collectif;Pour les loisirs;400;OFFICIER DE GENDARMERIE;Cadre;False
1;Retraité de la fonction publiq;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;30;66;60-69 ans;1966;AUTRE;125;Quelques fois par mois;2000;Cz;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Retraité de la fonction publiq;Retraité;False
1;DIRECTEUR DOUANE FRANCE;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;3;1;60;60;60-69 ans;2009;MACIF;650;Quelques fois par semaine;4000;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;CONSEILLER AUX  AFFAIRES DOUANIERES;Cadre;False
1;Ingénieur genie climatique;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;81;61;60-69 ans;2019;MUTUELLE DES MOTARDS;850;Quelques fois par semaine;6000;MOTO GUZZI;Custom;Garage individuel (ou box privatif);Pour les loisirs;500;Retraité;Retraité;False
1;responsable maintenance;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;21;58;50-59 ans;1988;AMV (ASSURANCE MOTO VERTE);1000;Quelques fois par semaine;12000;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;responsable maintenance;Ouvrier;False
1;Modeleur numérique;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;91;39;30-39 ans;2017;MUTUELLE DES MOTARDS;1000;Tous les jours;10000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1200;Modeleur numérique;Employé;False
1;Comptable trésorier;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;94;65;60-69 ans;2009;ALLIANZ;1600;Quelques fois par mois;1000;YAMAHA;Custom;Garage individuel (ou box privatif);Pour les loisirs;128;Comptable trésorier;Retraité;False
1;Ingénieur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;43;62;60-69 ans;2001;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;6000;APRILIA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;800;Ingénieur;Cadre;False
1;Responsable Sinistres;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;5;1;59;59;50-59 ans;2009;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;6000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;Responsable Sinistres;Cadre;False
1;Fonctionnaire;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;1;1;31;50;50-59 ans;2012;ASSURANCE CREDIT MUTUEL (ACM);1200;Tous les jours;10000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Fonctionnaire;Cadre;False
1;consultant;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;47;57;50-59 ans;1988;MUTUELLE DES MOTARDS;600;Tous les jours;40000;HONDA;Trail / Supermotard;Voie publique;Pour les trajets domicile travail;200;consultant;Profession libérale et artistique;False
1;artisan;Oui;Mise à jour;Non;En couple sans enfant;Homme;2;3;0;31;62;60-69 ans;1993;ALLIANZ;750;Tous les jours;15000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets professionnels;?;Conducteur d Autocars;Ouvrier;False
1;Chomeur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;13;50;50-59 ans;1987;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;3997;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Gestionnaire de paie;Employé;False
1;Chef d entreprise;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;78;47;40-49 ans;2014;MACIF;1000;Tous les jours;20000;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;?;Chef d entreprise;Profession libérale et artistique;False
1;agent administratif;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;33;56;50-59 ans;2000;AUTRE;900;Tous les jours;5000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;agent administratif;Employé;False
1;Ingénieur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;31;62;60-69 ans;2009;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;6000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur;Retraité;False
1;Aide médico psychologique;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;83;55;50-59 ans;2016;MUTUELLE DES MOTARDS;1290;Tous les jours;6000;KTM;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;500;Aide médico psychologique;Employé;False
1;gérant de cabinet de conseil;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;4;0;75;62;60-69 ans;1992;GENERALI;600;Quelques fois par mois;2000;HONDA;Trail / Supermotard;Parking privé non clos;Pour les loisirs;500;gérant de cabinet de conseil;Profession libérale et artistique;False
1;Déontologue;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;75;59;50-59 ans;2007;MUTUELLE DES MOTARDS;125;Quelques fois par semaine;2000;VESPA;Scooter;Parking privé clos;Pour les loisirs;679;Déontologue;Cadre;False
1;comptable;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;69;48;40-49 ans;2017;MUTUELLE DES MOTARDS;900;Tous les jours;10000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;comptable;Employé;False
1;Formateur risques routiers;Non;Qualification initiale;Non;Seul(e) sans enfant;Homme;1;1;0;87;44;40-49 ans;2018;MAAF;125;Quelques fois par semaine;4000;HONDA;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Formateur risques routiers;Profession intermédiaire;False
1;Electrotechnique;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;4;1;95;64;60-69 ans;2008;MUTUELLE DES MOTARDS;1100;Quelques fois par mois;3000;BIMOTA;Roadster;Parking privé clos;Pour les loisirs;3000;Electrotechnique;Retraité;False
1;Ingénieur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;86;49;40-49 ans;1995;MUTUELLE DES MOTARDS;1100;Quelques fois par mois;2500;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Ingénieur;Cadre;False
1;ILLUSTRATEUR;Non;?;Oui;Autre;Homme;2;1;0;94;62;60-69 ans;2010;MUTUELLE DES MOTARDS;1200;Tous les jours;18000;BMW;Trail / Supermotard;?;Pour les trajets domicile travail;900;ILLUSTRATEUR;Profession libérale et artistique;False
1;MONITEUR;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;80;52;50-59 ans;2012;MUTUELLE DES MOTARDS;1800;Quelques fois par mois;2000;SUZUKI;Custom;Garage individuel (ou box privatif);Pour les loisirs;?;MONITEUR;Profession intermédiaire;True
1;pâtissier;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;2;0;69;55;50-59 ans;2017;MACIF;500;Quelques fois par semaine;10000;HONDA;Roadster;Parking privé non clos;Pour les trajets professionnels;300;pâtissier;Artisan, commerçant assimilé;False
1;Informaticien;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;92;53;50-59 ans;2018;MUTUELLE DES MOTARDS;1050;Tous les jours;8000;TRIUMPH;Routière / GT;Parking privé clos;Pour les loisirs;500;Informaticien;Cadre;False
1;SNCF;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;66;60;60-69 ans;2000;MACIF;850;Tous les jours;5000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;SNCF;Retraité;False
1;Agent de méthode en industrial;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;2;1;25;49;40-49 ans;2008;ASSURANCE CREDIT MUTUEL (ACM);1200;Quelques fois par mois;5000;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1200;Agent de méthode en industrial;Employé;False
1;Informaticien;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;60;47;40-49 ans;2016;MUTUELLE DES MOTARDS;1200;Tous les jours;30000;TRIUMPH;Routière / GT;Autre;Pour les trajets domicile travail;150;Informaticien;Profession libérale et artistique;True
1;CADRE COMMERCIAL;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;76;61;60-69 ans;2016;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;5000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1500;CADRE COMMERCIAL;Cadre;False
1;fonctionnaire aux finances;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;34;61;60-69 ans;2008;MATMUT;1300;Quelques fois par semaine;8000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;fonctionnaire aux finances;Cadre;False
1;EXPERT AUTOMOBILE;Oui;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;91;59;50-59 ans;1996;MUTUELLE DES MOTARDS;500;Quelques fois par mois;3000;YAMAHA;Scooter;Garage individuel (ou box privatif);Pour les loisirs;150;EXPERT AUTOMOBILE;Profession libérale et artistique;False
1;Directeur commercial;Oui;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;34;45;40-49 ans;2001;MACIF;1000;Quelques fois par semaine;50000;YAMAHA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;300;Directeur commercial;Cadre;False
1;agent EDF;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;29;69;60-69 ans;2000;MUTUELLE DES MOTARDS;1150;Quelques fois par mois;15000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;agent EDF;Retraité;False
1;Chef d entreprise;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;3;1;91;60;60-69 ans;1999;MUTUELLE DES MOTARDS;1100;Tous les jours;3000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;200;Chef d entreprise;Artisan, commerçant assimilé;False
2;Responsable RH;Non;Qualification initiale;Non;En couple avec enfant(s);Femme;4;2;2;78;56;50-59 ans;2012;MACIF;1050;Quelques fois par mois;5000;TRIUMPH;Routière / GT;Parking privé clos;Pour les loisirs;?;Responsable RH;Cadre;False
1;Dispatcheur;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;31;43;40-49 ans;2019;AMV (ASSURANCE MOTO VERTE);125;Tous les jours;10000;HONDA;Scooter;Autre;Pour les trajets domicile travail;500;Responsable disaptch;Cadre;False
1;agent immobilier;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;13;69;60-69 ans;2009;MUTUELLE DES MOTARDS;400;Tous les jours;5000;HONDA;Scooter;Parking privé clos;Pour les trajets professionnels;?;agent immobilier;Retraité;False
1;routier;Non;Mise à jour;Oui;Seul(e) avec enfants;Homme;2;2;1;44;55;50-59 ans;2007;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;15000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;150;routier;Ouvrier;False
1;Ingénieur de maintenance;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;59;60;60-69 ans;2003;MACIF;1000;Quelques fois par mois;2600;SUZUKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;500;Ingénieur de maintenance;Cadre;True
1;cadre bancaire;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;62;64;60-69 ans;1970;MUTUELLE DES MOTARDS;50;Quelques fois par mois;1000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;cadre bancaire;Retraité;False
1;cadre technique immobilier;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;34;63;60-69 ans;2016;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;10000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;800;Retraité;Retraité;False
1;Chef de projet;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;1;0;13;54;50-59 ans;2019;MUTUELLE DES MOTARDS;850;Tous les jours;20000;Moto Guzzy;?;Voie publique;Pour les trajets domicile travail;?;Chef de projet;Cadre;False
1;consultant informatique;Non;Qualification initiale;Non;Seul(e) sans enfant;Homme;1;1;0;78;32;30-39 ans;2012;MAIF;650;Quelques fois par semaine;12000;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;consultant informatique;Cadre;False
1;technicien SAV;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;30;59;50-59 ans;2012;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;3000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;technicien SAV;Employé;False
1;sapeur pompier professionnel;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;44;66;60-69 ans;2001;MUTUELLE DES MOTARDS;900;Tous les jours;16000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;sapeur pompier professionnel;Retraité;True
1;OUVRIER MAINTENANCE;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;18;57;50-59 ans;2005;MUTUELLE DES MOTARDS;955;Quelques fois par mois;5000;TRIUMPH;Routière / GT;Parking privé non clos;Pour les loisirs;800;OUVRIER MAINTENANCE;Ouvrier;True
1;commercial immobilier;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;75;56;50-59 ans;2017;AMV (ASSURANCE MOTO VERTE);750;Tous les jours;10000;HONDA;Trail / Supermotard;Voie publique;Pour les trajets professionnels;1000;commercial immobilier;Employé;False
1;SAGE FEMME;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;2;1;91;45;40-49 ans;2006;MACIF;1000;Quelques fois par semaine;8000;Honda;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;SAGE FEMME;Employé;False
1;Agent commercial niveaux 2;Non;Qualification initiale;Oui;Autre;Homme;3;1;0;84;27;Moins de 30 ans;2013;MUTUELLE DES MOTARDS;500;Quelques fois par mois;2000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;Agent commercial niveaux 2;Employé;False
1;sans;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;6;1;60;62;60-69 ans;1995;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;7000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;sans;Retraité;False
1;artisan electricien retraité;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;84;76;70 et plus;2013;MUTUELLE DES MOTARDS;800;Quelques fois par mois;6000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;artisan electricien retraité;Retraité;False
1;Machiniste RATP;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;95;29;Moins de 30 ans;2013;MATMUT;750;Tous les jours;10000;SUZUKI;Roadster;Parking privé non clos;Pour les trajets domicile travail;300;Machiniste RATP;Employé;False
1;operateur industrie pharmaceut;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;2;1;76;48;40-49 ans;2018;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;5000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;operateur industrie chimique;Employé;False
1;Chargé e-crm, e-marketing;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;69;34;30-39 ans;2012;MUTUELLE DES MOTARDS;700;Tous les jours;6000;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;700;CRM Manager;Cadre;False
1;electrotechnicien;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;5;1;3;17;48;40-49 ans;2017;MUTUELLE DES MOTARDS;1400;Tous les jours;10000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;electrotechnicien;Employé;False
1;comptable;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;13;69;60-69 ans;2013;MUTUELLE DES MOTARDS;1600;Quelques fois par semaine;20000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;comptable;Retraité;False
1;Profession libérale;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;2;0;33;69;60-69 ans;2019;AMV (ASSURANCE MOTO VERTE);125;Quelques fois par mois;2000;PEUGEOT;Scooter;Garage individuel (ou box privatif);Pour les loisirs;300;Profession libérale;Retraité;False
2;Retraitée fonction publique ho;Non;Mise à jour;Non;En couple avec enfant(s);Femme;3;2;1;9;62;60-69 ans;1996;GMF;750;Quelques fois par mois;1500;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Retraitée fonction publique ho;Retraité;False
1;Ingénieur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;3;2;49;59;50-59 ans;1992;MACIF;250;Tous les jours;2000;MZ;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur;Cadre;False
1;Salarier : Technicien système ;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;26;28;Moins de 30 ans;2019;MACIF;1290;Quelques fois par semaine;10000;KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Salarier : Consultant infrastructure;Cadre;False
1;patissier;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;67;56;50-59 ans;2016;MACIF;1000;Quelques fois par semaine;4000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;200;patissier;Ouvrier;False
1;Amenagement Paysagé;Non;?;Oui;Autre;Homme;4;5;0;54;28;Moins de 30 ans;2010;AUTRE;660;Quelques fois par semaine;6000;YAMAHA;Roadster;?;Pour les loisirs;300;Paysagiste;Artisan, commerçant assimilé;False
1;Ordonnaceur et Dispatcheur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;3;2;78;55;50-59 ans;2010;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;3000;YAMAHA;Routière / GT;Parking privé clos;Pour les loisirs;300;Ordonnaceur et Dispatcheur;Employé;True
1;géologue;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;1;3;36;42;40-49 ans;2004;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;5000;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;géologue;Employé;False
2;Productrice;Non;Mise à jour;Oui;En couple sans enfant;Femme;2;4;0;94;59;50-59 ans;2004;MUTUELLE DES MOTARDS;1100;Quelques fois par mois;3000;MOTO GUZZI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Productrice;Cadre;False
1;technicein commercial;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;4;2;2;26;51;50-59 ans;2005;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;3000;BMW;Custom;Garage individuel (ou box privatif);Pour les loisirs;?;technicein commercial;Cadre;False
1;Responsable d Equipe Orange 11;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;4;1;13;57;50-59 ans;1999;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;1000;BUELL;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Responsable d Equipe Orange;Cadre;False
1;Mécanicien Automobile;Non;Mise à jour;Oui;Autre;Homme;4;2;0;18;31;30-39 ans;2001;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;2000;YAMAHA;Sportive;Parking privé clos;Pour les loisirs;1000;Mécanicien Automobile;Ouvrier;False
1;Technicien en informatique;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;2;1;33;54;50-59 ans;2003;MUTUELLE DES MOTARDS;1150;Quelques fois par semaine;5000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Technicien en informatique;Employé;False
1;cadre assurance;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;72;58;50-59 ans;2006;MMA;1000;Tous les jours;8000;HONDA;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;4670;cadre assurance;Cadre;False
1;INFIRMIER LIBERAL;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;1;3;61;48;40-49 ans;2018;PACIFICA (CREDIT AGRICOLE);900;Tous les jours;10000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;600;INFIRMIER LIBERAL;Profession libérale et artistique;False
2;infirmiere;Non;Mise à jour;Non;Seul(e) avec enfants;Femme;3;2;2;13;50;50-59 ans;2015;MACIF;650;Tous les jours;10000;SUZUKI;Custom;Garage collectif;Pour les trajets domicile travail;700;infirmiere;Employé;False
1;cordiste;Non;Qualification initiale;Oui;Autre;Homme;2;1;0;69;32;30-39 ans;2009;MUTUELLE DES MOTARDS;650;Tous les jours;10000;KAWASAKI;Roadster;Parking public non clos;Pour les trajets domicile travail;?;cordiste;Ouvrier;False
1;Responsable qualité;Non;Mise à jour;Oui;Autre;Homme;3;2;0;95;61;60-69 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;10000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;Responsable qualité;Cadre;False
1;Balancier;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;7;0;71;57;50-59 ans;2018;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;Balancier;Artisan, commerçant assimilé;False
1;Ingénieur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;76;39;30-39 ans;2018;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;2500;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;200;Ingénieur;Cadre;False
